,Entity,Code,Year,Meat Production (tonnes)
7522,Mexico,MEX,2016,6558733
5508,India,IND,2012,6558601
11358,Spain,ESP,2016,6546387
4570,Germany,DEU,2002,6462810
4569,Germany,DEU,2001,6451742
9037,Oceania,,2013,6426310
4242,France,FRA,1991,6410103
9041,Oceania,,2017,6403446
746,Australia & New Zealand,,2015,6398196
4567,Germany,DEU,1999,6397175
4252,France,FRA,2001,6388404
4243,France,FRA,1992,6388343
5507,India,IND,2011,6370962
4253,France,FRA,2002,6368200
7521,Mexico,MEX,2015,6356703
4251,France,FRA,2000,6323737
4545,Germany,DEU,1977,6289257
9929,Russia,RUS,2008,6268059
745,Australia & New Zealand,,2014,6262169
4568,Germany,DEU,2000,6252008
4254,France,FRA,2003,6242554
7520,Mexico,MEX,2014,6223351
4544,Germany,DEU,1976,6213887
1552,Brazil,BRA,1986,6197736
4543,Germany,DEU,1975,6185485
747,Australia & New Zealand,,2016,6134670
7519,Mexico,MEX,2013,6122134
4566,Germany,DEU,1998,6116727
749,Australia & New Zealand,,2018,6111174
5506,India,IND,2010,6088912
9031,Oceania,,2007,6083622
7518,Mexico,MEX,2012,6079220
4560,Germany,DEU,1992,6078990
4255,France,FRA,2004,6078314
11357,Spain,ESP,2015,6056662
4542,Germany,DEU,1974,6048872
9036,Oceania,,2012,6042958
4256,France,FRA,2005,6019490
9032,Oceania,,2008,6003528
7517,Mexico,MEX,2011,6001019
4564,Germany,DEU,1996,5985574
9030,Oceania,,2006,5984975
2400,China,CHN,1964,5980768
521,Argentina,ARG,2018,5930063
4561,Germany,DEU,1993,5926480
9035,Oceania,,2011,5918951
5505,India,IND,2009,5918880
4565,Germany,DEU,1997,5915646
1551,Brazil,BRA,1985,5898738
744,Australia & New Zealand,,2013,5896849
9034,Oceania,,2010,5876334
9033,Oceania,,2009,5867038
4259,France,FRA,2008,5835821
4262,France,FRA,2011,5832340
748,Australia & New Zealand,,2017,5831545
1549,Brazil,BRA,1983,5831344
8810,Northern Africa,,2018,5831047
7516,Mexico,MEX,2010,5828422
4563,Germany,DEU,1995,5824037
4261,France,FRA,2010,5810231
9029,Oceania,,2005,5801092
9916,Russia,RUS,1995,5784459
4260,France,FRA,2009,5777096
9028,Oceania,,2004,5765392
4562,Germany,DEU,1994,5765384
8809,Northern Africa,,2017,5754369
4241,France,FRA,1990,5743664
4539,Germany,DEU,1971,5733523
7515,Mexico,MEX,2009,5728274
8807,Northern Africa,,2015,5727173
11356,Spain,ESP,2014,5716826
8808,Northern Africa,,2016,5707428
5504,India,IND,2008,5707396
4541,Germany,DEU,1973,5706133
9928,Russia,RUS,2007,5705166
520,Argentina,ARG,2017,5699397
1550,Brazil,BRA,1984,5676550
4263,France,FRA,2012,5676337
4258,France,FRA,2007,5668857
4267,France,FRA,2016,5663906
11353,Spain,ESP,2011,5655987
4266,France,FRA,2015,5653860
11354,Spain,ESP,2012,5647452
4540,Germany,DEU,1972,5641026
7514,Mexico,MEX,2008,5632196
4239,France,FRA,1988,5627904
1548,Brazil,BRA,1982,5626493
4269,France,FRA,2018,5621700
4238,France,FRA,1987,5611280
9025,Oceania,,2001,5610796
9026,Oceania,,2002,5610416
4265,France,FRA,2014,5597676
9027,Oceania,,2003,5587270
738,Australia & New Zealand,,2007,5587114
1547,Brazil,BRA,1981,5585967
5503,India,IND,2007,5569614
4235,France,FRA,1984,5567600
4268,France,FRA,2017,5562744
4240,France,FRA,1989,5560950
8806,Northern Africa,,2014,5556277
7513,Mexico,MEX,2007,5546779
4264,France,FRA,2013,5529044
4257,France,FRA,2006,5518648
11349,Spain,ESP,2007,5517371
743,Australia & New Zealand,,2012,5512079
11355,Spain,ESP,2013,5502721
737,Australia & New Zealand,,2006,5502204
11350,Spain,ESP,2008,5501284
739,Australia & New Zealand,,2008,5496579
518,Argentina,ARG,2015,5489772
4538,Germany,DEU,1970,5489507
11345,Spain,ESP,2003,5479679
4236,France,FRA,1985,5477643
4232,France,FRA,1981,5467753
4231,France,FRA,1980,5448100
11352,Spain,ESP,2010,5443530
4234,France,FRA,1983,5419900
4237,France,FRA,1986,5411840
9024,Oceania,,2000,5402334
7512,Mexico,MEX,2006,5401308
519,Argentina,ARG,2016,5397908
8805,Northern Africa,,2013,5396618
742,Australia & New Zealand,,2011,5394560
741,Australia & New Zealand,,2010,5379877
4233,France,FRA,1982,5374900
740,Australia & New Zealand,,2009,5357292
512,Argentina,ARG,2009,5357214
3351,Eastern Africa,,2018,5351562
4230,France,FRA,1979,5351415
4537,Germany,DEU,1969,5350609
9022,Oceania,,1998,5350505
