,Year,T_CelsiusMEX,T_FarenheitMEX,dT_Celsius_MEX,dT_Farenheit_MEX,CO2_México,T_CelsiusCAN,T_FarenheitCAN,dT_Celsius_CAN,dT_Farenheit_CAN,CO2_Canada,T_CelsiusUSA,T_FarenheitUSA,dT_Celsius_USA,dT_Farenheit_USA,CO2_USA
24,1983,20.535825,68.964485,-0.27575833333333577,-0.4963649999999973,3.829532781,-6.94961,19.490702,1.0803075,1.9445534999999978,16.11132555,11.044444444444446,51.88,0.29999999999999893,0.5399999999999991,18.57154371
25,1984,20.404925000000002,68.72886500000001,-0.1308999999999969,-0.23561999999998307,3.73389481,-6.8374291666666664,19.6926275,0.1121808333333334,0.20192550000000153,16.62025251,11.094444444444445,51.97,0.049999999999998934,0.0899999999999963,18.97675027
26,1985,20.449616666666667,68.80931000000001,0.04469166666666524,0.08044499999999744,3.796893825,-6.94425,19.500349999999997,-0.10682083333333381,-0.192277500000003,16.33299046,10.722222222222221,51.3,-0.37222222222222356,-0.6700000000000017,18.88231274
27,1986,20.717766666666666,69.29198,0.26814999999999856,0.4826699999999846,3.795908929,-7.0463625,19.3165475,-0.1021124999999996,-0.18380249999999876,15.51911259,11.844444444444445,53.32,1.1222222222222236,2.020000000000003,18.72072272
28,1987,20.312816666666667,68.56307000000001,-0.4049499999999995,-0.7289099999999848,3.880765463,-5.6790075,21.777786499999998,1.3673549999999999,2.461238999999999,16.31019464,11.85,53.33,0.005555555555554648,0.00999999999999801,19.35033442
29,1988,20.497858333333333,68.896145,0.18504166666666677,0.3330749999999938,3.800867772,-6.121959166666667,20.980473500000002,-0.44295166666666663,-0.7973129999999955,17.02217437,11.461111111111114,52.63,-0.38888888888888573,-0.6999999999999957,20.01041341
30,1989,20.846275,69.52329499999999,0.34841666666666526,0.6271499999999861,4.393378554,-7.1554174999999995,19.120248500000002,-1.033458333333333,-1.8602249999999998,16.98419297,11.022222222222224,51.84,-0.43888888888889,-0.7899999999999991,20.07576978
31,1990,20.892766666666667,69.60698,0.04649166666666815,0.08368500000000267,3.793373018,-7.1663225,19.1006195,-0.010905000000000165,-0.019629000000001895,15.71554138,11.95,53.51,0.9277777777777754,1.6699999999999946,19.32275118
32,1991,20.834483333333335,69.50207,-0.05828333333333191,-0.10490999999998962,3.881986429,-6.548698333333334,20.212342999999997,0.6176241666666655,1.1117234999999965,15.22180457,11.755555555555555,53.16,-0.19444444444444464,-0.3500000000000014,19.05616319
33,1992,20.6302,69.13436,-0.20428333333333626,-0.3677100000000024,3.84378479,-7.095869166666667,19.2274355,-0.5471708333333325,-0.9849074999999985,15.54314788,11.444444444444446,52.6,-0.31111111111110823,-0.5599999999999952,19.13943728
34,1993,20.91143333333333,69.64058,0.2812333333333328,0.506219999999999,3.830377124,-6.4398316666666675,20.408302999999997,0.6560374999999992,1.180867499999998,15.5337111,10.7,51.26,-0.7444444444444471,-1.3400000000000034,19.34708291
35,1994,21.355733333333333,70.44032,0.4443000000000019,0.7997399999999999,3.912978646,-6.416501666666666,20.450297,0.023330000000001405,0.04199400000000253,15.75307185,11.594444444444443,52.87,0.8944444444444439,1.6099999999999994,19.36089205
36,1995,21.273358333333334,70.292045,-0.08237499999999898,-0.14827499999999816,3.630863982,-6.272845,20.708879,0.14365666666666588,0.25858200000000053,15.95907715,11.472222222222221,52.65,-0.12222222222222179,-0.21999999999999886,19.27654526
37,1996,21.158183333333334,70.08473000000001,-0.1151750000000007,-0.20731499999999414,3.719042582,-7.017297500000001,19.3688645,-0.7444525000000004,-1.3400144999999988,16.1910295,11.044444444444446,51.88,-0.42777777777777537,-0.769999999999996,19.49602474
38,1997,20.881899999999998,69.58742,-0.27628333333333543,-0.497310000000013,3.908311625,-6.323375000000001,20.617925,0.6939224999999993,1.2490604999999988,16.56173401,11.222222222222225,52.2,0.17777777777777892,0.3200000000000003,19.69036318
39,1998,21.382775,70.48899499999999,0.5008750000000006,0.901574999999994,4.050613546,-4.6594175,23.613048499999998,1.6639575000000013,2.9951234999999983,16.79757271,12.35,54.23,1.1277777777777747,2.029999999999994,19.5792362
